account_name,account_id,after_school,max_capacity,facility_type,program_published,fees_type,advocacy_type,billing_street,billing_city,billing_zip,website,phone,GEOID,indexSupply,indexDemand,MainGrp
Richardson ISD - Xplore! Dobie Primary,0013100001pokUx,TRUE,119,School,TRUE,Fee,School Run,14040 ROLLING HILLS LN,Dallas,75240,"",(469) 593-4019,48113019208,77,90,Demand > Supply
Lighthouse Learning Center,001i000001YBHJr,TRUE,119,Child Care Center,TRUE,Sliding Scale,For Profit,5525 W ILLINOIS AVE,DALLAS,75211,"",(214) 339-2207,48113010704,85,66,Demand < Supply
Alphabest @ CityScape-East Grand Preparatory,0010Z000028tUpt,TRUE,116,School,TRUE,Sliding Scale,For Profit,6211 E GRAND AVE,DALLAS,75223,"",972-668-0640,48113001203,90,29,Demand < Supply
AlphaBest @ Geneva Heights-DISD,0010Z0000273xxi,TRUE,115,School,TRUE,Sliding Scale,For Profit,2911 DELMAR AVE,DALLAS,75206,"",972-668-0640,48113000202,87,5,Demand < Supply
Saint Christopher Montessori,001i000001YBHHX,TRUE,115,School,TRUE,Sliding Scale,School Run,7900 LOVERS LN,DALLAS,75225,"",(214) 363-9391,48113019302,85,63,Demand < Supply
Mi Escuelita Preschool at Good Shepherd,001i000001YBHK5,TRUE,114,Child Care Center,TRUE,Sliding Scale,For Profit,4931 BERNAL DR,DALLAS,75212,"",(214) 638-1749,48113010601,93,62,Demand < Supply
A+ Highpointe Academy,0013100001eWtWB,TRUE,113,Child Care Center,TRUE,Sliding Scale,For Profit,3211 W Camp Wisdom Road,Dallas,75241,"",(214) 331-7202,48113010904,90,65,Demand < Supply
Cornerstone/The Ranch,001i000001YBHFM,TRUE,111,Child Care Center,TRUE,Sliding Scale,For Profit,1050 E CAMP WISDOM RD,DALLAS,75241,"",(972) 224-6716,48113011201,85,68,Demand < Supply
Nexus Child Development Center,001i000001YBHFp,TRUE,111,Child Care Center,TRUE,Sliding Scale,For Profit,8733 LA PRADA DR,DALLAS,75228,"",(214) 321-0156,48113012302,73,93,Demand > Supply
Richardson ISD - Prestonwood Elementary,001i000001YBHG9,TRUE,110,School,TRUE,Sliding Scale,School Run,6525 LACOSA DR,DALLAS,75248,"",(469) 593-6739,48113013619,89,45,Demand < Supply
LaunchPAD,0013r00002ZnCXL,TRUE,110,Child Care Center,TRUE,Fee,For Profit,6502 MILITARY PKWY,DALLAS,75227,"",214-275-3432,48113008401,77,85,Demand > Supply
Ms Sues Christian Day Care School,001i000001YBHF0,TRUE,108,Child Care Center,TRUE,Sliding Scale,For Profit,1825 Clarendon W,Dallas,75208,"",(214) 942-0081,48113005200,83,83,Demand > Supply
Angels Playland,001i000001YBHIa,TRUE,107,Child Care Center,TRUE,Fee,For Profit,4014 S COCKRELL HILL RD,DALLAS,75236,"",(214) 337-0171,48113010807,93,62,Demand < Supply
Pace and Ross Learning Center,001i000001YBHGt,TRUE,103,Child Care Center,TRUE,Sliding Scale,For Profit,3922 S MARSALIS AVE,DALLAS,75216,"",(214) 371-6206,48113005901,99,62,Demand < Supply
Burning Bush Academy,001i000001YBHE1,TRUE,103,Child Care Center,TRUE,Sliding Scale,For Profit,4943 BONNIE VIEW RD,DALLAS,75241,"",(214) 375-5056,48113008705,88,70,Demand < Supply
Hamilton Park Methodist Church,0013100001n8NhF,TRUE,102,Faith Community,TRUE,Sliding Scale,For Profit,11881 Schroeder Rd.,Dallas,75243,http://hparkumctest.org/Home/tabid/94/Default.aspx,(972) 231-8538,48113007829,89,65,Demand < Supply
Youth Conversion at Polk,001i000001YBHTA,TRUE,102,Child Care Center,TRUE,Sliding Scale,For Profit,5505 S POLK ST,DALLAS,75232,"",(469) 682-7123,48113011003,94,62,Demand < Supply
Redeemers Child Care Center,001i000001YBHH8,TRUE,102,Child Care Center,TRUE,Sliding Scale,For Profit,8519 CRAIGHILL AVE,DALLAS,75209,"",(214) 357-3679,48113007302,87,65,Demand < Supply
For Keeps Sake,001i000001YBHGs,TRUE,101,Child Care Center,TRUE,Sliding Scale,For Profit,2520 MARTIN LUTHER KING JR BL,DALLAS,75215,"",(214) 421-5337,48113020300,87,68,Demand < Supply
KIDS UNIVERSITY PREPARATORY LEARNING CENTER,001i000001YBHJe,TRUE,101,Child Care Center,TRUE,Sliding Scale,For Profit,2020 W WHEATLAND RD,DALLAS,75232,"",(972) 228-7256,48113011101,93,68,Demand < Supply
Gran's Lil' Angels Achievement Academy,001i000001YBHFF,TRUE,101,Child Care Center,TRUE,Sliding Scale,For Profit,6514 S LANCASTER RD,DALLAS,75241,"",(214) 371-8991,48113011401,84,67,Demand = Supply
Just Keep Livin' at David W Carter High School,0013100001p7hxP,TRUE,100,School,TRUE,No Charge,National Nonprofit,1819 W. Wheatland Road,Dallas,75232,https://www.jklivinfoundation.org/,214-306-8400 x114,48113011101,93,68,Demand < Supply
Boys and Girls Clubs of Greater Dallas at MLK Jr Learning Center,0013r00002DdN6u,TRUE,100,School,TRUE,No Charge,National Nonprofit,1817 Warren Ave,Dallas,75215,"",214-821-2950,48113020900,85,72,Demand < Supply
Boys and Girls Clubs of Greater Dallas at Uplift Wisdom Preparatory,0013r00002DdN6w,TRUE,100,School,TRUE,Sliding Scale,National Nonprofit,301 W Camp Wisdom Rd,Dallas,75232,"",214-821-2950,48113011103,82,73,Demand = Supply
Bethel Early Learning Center,0010Z00001uITtu,TRUE,100,Child Care Center,TRUE,Sliding Scale,For Profit,11211 E Northwest Hwy,Dallas,75238,"",214-348-8375,48113013007,89,59,Demand < Supply
YMCA at Park South,001i000001HVKUZ,TRUE,100,Community Center/Nonprofit,TRUE,No Charge,National Nonprofit,2500 Romine Ave.,Dallas,75215,www.ymcadallas.org/afterschool,"",48113003700,94,64,Demand < Supply
Richardson ISD -PACE at Moss Haven Elementary,0013100001lpczN,TRUE,100,School,TRUE,Fee,School Run,9202 Moss Farm Rd.,Dallas,75243,www.risd.org/pace,469-593-2182,48113007812,90,68,Demand < Supply
Richadson ISD - Merriman Park Elementary,0013100001lpW1G,TRUE,100,School,TRUE,Sliding Scale,School Run,7101 Winedale Dr.,Dallas,75231,www.risd.org/pace,469-593-2760,48113007824,91,57,Demand < Supply
"City Year at Francisco """"""""Pancho"""""""" Medrano Middle School",0013100001loM67,TRUE,100,School,TRUE,No Charge,National Nonprofit,9815 Brockbank Dr,Dallas,75220,www.cityyear.org/dallas,4695547004,48113009803,94,60,Demand < Supply
City Year at H. Grady Spruce High School,0013100001loMCh,TRUE,100,School,TRUE,No Charge,National Nonprofit,9733 Old Seagoville Rd,Dallas,75217,www.cityyear.org/dallas,4695547004,48113011701,84,59,Demand < Supply
City Year at Thomas Jefferson High School,0013100001loMBF,TRUE,100,School,TRUE,No Charge,National Nonprofit,4001 Walnut Hill Ln,Dallas,75229,www.cityyear.org/dallas,4695547004,48113009500,86,68,Demand < Supply
City Year at Franklin D. Roosevelt High School,0013100001loMDG,TRUE,100,School,TRUE,No Charge,National Nonprofit,525 Bonnie View Rd,Dallas,75203,www.cityyear.org/dallas,4695547004,48113021100,84,,
City Year at Oliver W. Holmes Middle School,0013100001loM4B,TRUE,100,School,TRUE,No Charge,National Nonprofit,2001 E Kiest Blvd,Dallas,75216,www.cityyear.org/dallas,4695547004,48113008801,88,69,Demand < Supply
Rae's Hope,001i000001YCpBS,TRUE,100,Community Center/Nonprofit,TRUE,Fee,Local Nonprofit,4410 Leland Ave,Dallas,75215,www.raeshope.org,214 232-7740,48113020800,91,71,Demand < Supply
City Year at E. B. Comstock Middle School,0013100001loM7o,TRUE,100,School,TRUE,No Charge,National Nonprofit,7044 Hodde St,Dallas,75217,www.cityyear.org/dallas,4695547004,48113009303,87,64,Demand < Supply
Union Christian Academy,001i000001YBHI8,TRUE,100,Child Care Center,TRUE,Sliding Scale,For Profit,3312 S POLK ST,DALLAS,75224,"",(214) 372-9822,48113006001,77,89,Demand > Supply
Richardson ISD - Thurgood Marshall Elementary,001i000001YBHIN,TRUE,100,School,TRUE,Fee,School Run,9666 W FERRIS BRANCH BLVD,DALLAS,75243,"",(469) 593-7419,48113007834,84,80,Demand > Supply
Richardson ISD Xplore! -RISD Academy,001i000001YBHIQ,TRUE,100,School,TRUE,Sliding Scale,School Run,13630 COIT RD,DALLAS,75240,www.risd.org/PACE,(469) 593-7419,48113019208,77,90,Demand > Supply
Richardson ISD Xplore!- Carolyn Bukhair Elementary,001i000001YBHIR,TRUE,100,School,TRUE,Fee,School Run,13900 MAHAM RD,DALLAS,75240,"",(469) 593-7419,48113019212,72,100,Demand > Supply
Richardson ISD Xplore!- Skyview Elementary,001i000001YBHIS,TRUE,100,School,TRUE,Sliding Scale,School Run,9229 MEADOWKNOLL DR,DALLAS,75243,"",(469) 593-7419,48113007810,95,65,Demand < Supply
Little Rascals Child Development Center,001i000001YBHJw,TRUE,100,Child Care Center,TRUE,Sliding Scale,For Profit,2907 N HAMPTON RD,DALLAS,75212,"",(214) 879-0046,48113020500,88,62,Demand < Supply
Richardson ISD Xplore! - Northlake Elementary,001i000001YBHKQ,TRUE,100,School,TRUE,Sliding Scale,School Run,10059 RAVENSWAY DR,DALLAS,75238,WWW.RISD.ORG/PACE,(469) 593-7419,48113013008,97,66,Demand < Supply
Good Street Learning Center  INC,001i000001YBHFE,TRUE,100,Child Care Center,TRUE,Sliding Scale,For Profit,3126 HATCHER ST,DALLAS,75215,"",(214) 421-7504,48113020800,91,71,Demand < Supply
Care Center Ministries Community Center After School Program,0013100001ajiBL,TRUE,100,Child Care Center,TRUE,No Charge,For Profit,7912 Antoinette St.,Dallas,75217,http://www.carecenterministries.org,(214) 824-9852,48113009304,75,89,Demand > Supply
"Services of Hope, LCC. Extended Day Program at East Grand Prepatory",0013100001bT4O2,TRUE,100,School,TRUE,Sliding Scale,Local Nonprofit,6211 East Grand Avenue.,Dallas,75223,www.servicesofhope.org,(214)276-0234,48113001203,90,29,Demand < Supply
Metropolitan Christian Academi,001i000001YBHFm,TRUE,98,Child Care Center,TRUE,Sliding Scale,For Profit,3430 S POLK ST,DALLAS,75224,"",(214) 375-2227,48113006001,77,89,Demand > Supply
Play and Learn Christian Academy,001i000001YBHE2,TRUE,95,Child Care Center,TRUE,Sliding Scale,For Profit,9510 MILITARY PKWY,DALLAS,75227,"",(214) 381-7529,48113012102,91,60,Demand < Supply
Cornerstone Learning Center 2,0010Z00001a0BsM,TRUE,94,Child Care Center,TRUE,Sliding Scale,For Profit,814 S BELT LINE RD,DALLAS,75253,"","",48113017010,89,59,Demand < Supply
Peari's Preparatory Academy,0013r00002NExtc,TRUE,90,Child Care Center,TRUE,Fee,For Profit,330 S R L THORNTON FWY,DALLAS,75203,"",214-944-5811,48113021000,96,60,Demand < Supply
Creative Kids Learning Center,001i000001YBHIx,TRUE,90,Child Care Center,TRUE,Sliding Scale,For Profit,7530 FORNEY RD,DALLAS,75227,"",(214) 388-4622,48113008500,90,69,Demand < Supply
Southern Crest Day Care Ctr,001i000001YBHEH,TRUE,90,Child Care Center,TRUE,Sliding Scale,For Profit,2324 LOCUST AVE,DALLAS,75216,http://www.southerncrestfullgospelbc.org/scfgbc-learning-center.html,(214) 371-3016,48113008703,89,70,Demand < Supply
American Care Academy,001i000001YBHDo,TRUE,86,Child Care Center,TRUE,Sliding Scale,For Profit,530 S R L THORNTON FWY,DALLAS,75203,"",(214) 943-7300,48113021000,96,60,Demand < Supply
El Kinder - Bilingual Early Childhood Education,001i000001YBHEz,TRUE,86,Child Care Center,TRUE,Sliding Scale,For Profit,2523 S BUCKNER BLVD,DALLAS,75227,"",(214) 381-8044,48113009101,93,60,Demand < Supply
Springhill Montessori School,0010Z000024Cxw4,TRUE,85,Child Care Center,TRUE,Sliding Scale,For Profit,813 N ZANG BLVD,DALLAS,75208,"",214-946-1799,48113004201,94,59,Demand < Supply
Tyler Street Christian Academy,001i000001YBHH5,TRUE,85,Child Care Center,TRUE,Sliding Scale,For Profit,915 W 9TH ST,DALLAS,75208,"",(214) 941-9717,48113004600,81,83,Demand > Supply
Aishas Learning Center INC,001i000001YBHDk,TRUE,85,Child Care Center,TRUE,Sliding Scale,For Profit,2750 E LEDBETTER DR,DALLAS,75216,"",(214) 375-2750,48113008705,88,70,Demand < Supply
Kirbys Kreative Learning Center,001i000001YBHJl,TRUE,85,Child Care Center,TRUE,Sliding Scale,"",330 S R L THORNTON FWY,DALLAS,75203,"",(214) 943-7309,48113021000,96,60,Demand < Supply
Kiest Park Day Care Center,001i000001YBHFZ,TRUE,85,Child Care Center,TRUE,Sliding Scale,For Profit,2719 S HAMPTON RD,DALLAS,75224,"",(214) 331-1536,48113010804,84,81,Demand = Supply
Childcare Paradise Learning Center,0013r00002QWCOY,TRUE,85,Child Care Center,TRUE,Fee,For Profit,2146 E OVERTON RD,DALLAS,75216,"",214-374-1350,48113008802,84,67,Demand = Supply
AlphaBest @ Buckner Prep-Cityscape,0010Z00002CZ9RP,TRUE,85,School,TRUE,Fee,School Run,8510 MILITARY PKWY,DALLAS,75227,"",972-668-0640,48113009001,78,84,Demand > Supply
Moody Family Childcare & Youth Services Center,0010Z00002CZ9RT,TRUE,84,Child Care Center,TRUE,Fee,For Profit,1651 MATILDA ST,DALLAS,75206,"",214-827-7220,48113001101,88,56,Demand < Supply
Lots of Luv Child Care,0010Z000023hh0e,TRUE,83,Child Care Center,TRUE,Sliding Scale,For Profit,10130 ROYAL LN,DALLAS,75238,"",214-484-4200,48113013009,77,78,Demand = Supply
Golden Eagle Program,0010Z00002E2bpi,TRUE,83,Child Care Center,TRUE,Sliding Scale,For Profit,3721 W CAMP WISDOM RD,DALLAS,75237,"",972-298-9437,48113010904,90,65,Demand < Supply
Inspire,0013r00002TzTMR,TRUE,80,Child Care Center,TRUE,Fee,For Profit,6423 WALNUT HILL LN,DALLAS,75230,"",214-901-1711,48113007604,81,50,Demand < Supply
A Step Ahead,0013100001cF5G6,TRUE,79,Child Care Center,TRUE,Sliding Scale,For Profit,1050 N Westmoreland Rd. Ste. 308,Dallas,75211,"",(214) 467-4601,48113006900,83,80,Demand > Supply
Golden Minds Academy,0010Z00001v7FsS,TRUE,79,Child Care Center,TRUE,Sliding Scale,For Profit,9759 Forest Ln Suite 450,Dallas,75243,https://www.goldenmindsacademy.com,(972) 783-4769,48113019035,74,92,Demand > Supply
St. Paul Christian Academy,0010Z0000273xxq,TRUE,78,Child Care Center,TRUE,Sliding Scale,For Profit,5725 S MARSALIS AVE,DALLAS,75241,"",214-371-9429,48113011202,98,61,Demand < Supply
A Special Love Childcare Academy Learning Center,0013r00002bSMsG,TRUE,77,"",TRUE,"","",4121 MARVIN D LOVE FWY STE 100,DALLAS,75224,"",972-913-4133,48113006100,85,71,Demand < Supply
KCE Champions LLC at Uplift-White Rock Hills,0010Z00001uccNr,TRUE,76,School,TRUE,Sliding Scale,For Profit,7370 Valleyglen Dr,Dallas,75228,"",817-933-6664,48113012208,92,63,Demand < Supply
Dallas ISD DASA at SAN JACINTO EL,0013r00002YvrDo,TRUE,75,School,TRUE,No Charge,School Run,7900 HUME DR,DALLAS,75227,"",(972)749-4200,48113009101,93,60,Demand < Supply
Dallas ISD DASA at SEAGOVILLE MIDDLE,0013r00002YvrDp,TRUE,75,School,TRUE,No Charge,School Run,950 WOODY RD,DALLAS,75253,"",(972)892-7100,48113017010,89,59,Demand < Supply
Dallas ISD DASA at Jesus Moroles EXPRESSIVE ARTS VANGUARD,0013r00002YvrDq,TRUE,75,School,TRUE,No Charge,School Run,1400 WALMSLEY AVE,DALLAS,75208,"",(972)794-4400,48113004300,88,70,Demand < Supply
Dallas ISD DASA at STEVENS PARK EL,0013r00002YvrDr,TRUE,75,School,TRUE,No Charge,School Run,2615 W COLORADO BLVD,DALLAS,75211,"",(972)794-4200,48113006900,83,80,Demand > Supply
Dallas ISD DASA at T W BROWNE MIDDLE,0013r00002YvrDs,TRUE,75,School,TRUE,No Charge,School Run,3333 SPRAGUE DR,DALLAS,75233,"",(972)502-2500,48113010806,95,62,Demand < Supply
Dallas ISD DASA at THOMAS L MARSALIS EL,0013r00002YvrDt,TRUE,75,School,TRUE,No Charge,School Run,5640 S MARSALIS AVE,DALLAS,75241,"",(972)749-3500,48113011202,98,61,Demand < Supply
Dallas ISD DASA at TRINITY HEIGHTS GIFTED AND TALENTED SCHOOL,0013r00002YvrDu,TRUE,75,School,TRUE,No Charge,School Run,1515 LYNN HAVEN AVE,DALLAS,75216,"",(972)925-7500,48113021000,96,60,Demand < Supply
Dallas ISD DASA at W A BLAIR EL,0013r00002YvrDv,TRUE,75,School,TRUE,No Charge,School Run,7720 GAYGLEN DR,DALLAS,75217,"",(972)794-1600,48113011601,83,66,Demand < Supply
Dallas ISD DASA at W W BUSHMAN EL,0013r00002YvrDw,TRUE,75,School,TRUE,No Charge,School Run,4200 BONNIE VIEW RD,DALLAS,75216,"",(972)749-1800,48113008703,89,70,Demand < Supply
Dallas ISD DASA at WHITNEY M YOUNG JR EL,0013r00002YvrDx,TRUE,75,School,TRUE,No Charge,School Run,4601 VETERANS DR,DALLAS,75216,"",(972)749-2000,48113008704,93,63,Demand < Supply
Dallas ISD DASA at WILLIAM HAWLEY ATWELL LAW ACADEMY,0013r00002YvrDy,TRUE,75,School,TRUE,No Charge,School Run,1303 REYNOLDSTON LN,DALLAS,75232,"",(972)794-6400,48113011003,94,62,Demand < Supply
Dallas ISD DASA at YOUNG MEN'S LEADERSHIP ACADEMY AT FRED F FLORENCE,0013r00002YvrDz,TRUE,75,School,TRUE,No Charge,School Run,1625 N MASTERS DR,DALLAS,75217,"",(972)749-6000,48113011901,89,68,Demand < Supply
Dallas ISD DASA at JOHN W RUNYON EL,0013r00002Yvr9R,TRUE,75,School,TRUE,No Charge,School Run,10750 CRADLEROCK DR,DALLAS,75217,"",(972)749-6100,48113011902,82,73,Demand = Supply
Dallas ISD DASA at JOSE 'JOE' MAY EL,0013r00002YvrDU,TRUE,75,School,TRUE,No Charge,School Run,9818 BROCKBANK DR,DALLAS,75220,"",(972)749-4800,48113009804,72,97,Demand > Supply
Dallas ISD DASA at JULIAN T SALDIVAR EL,0013r00002YvrDV,TRUE,75,School,TRUE,No Charge,School Run,9510 BROCKBANK DR,DALLAS,75220,"",(972)794-2000,48113007204,75,90,Demand > Supply
Dallas ISD DASA at KENNEDY-CURRY MIDDLE,0013r00002YvrDW,TRUE,75,School,TRUE,No Charge,School Run,6605 SEBRING,DALLAS,75241,"",(972)925-1600,48113016710,82,66,Demand < Supply
Dallas ISD DASA at LEE A MCSHAN JR EL,0013r00002YvrDX,TRUE,75,School,TRUE,No Charge,School Run,8307 MEADOW,DALLAS,75231,"",(972)502-6052,48113007823,83,70,Demand = Supply
Dallas ISD DASA at LEONIDES GONZALEZ CIGARROA MD EL,0013r00002YvrDY,TRUE,75,School,TRUE,No Charge,School Run,9990 WEBB CHAPEL RD,DALLAS,75220,"",(972)502-2900,48113009802,80,82,Demand > Supply
Dallas ISD DASA at ADELLE TURNER EL,0013r00002YvrCv,TRUE,75,School,TRUE,No Charge,School Run,5505 S POLK ST,DALLAS,75232,"",(972)794-6300,48113011003,94,62,Demand < Supply
KCE Champions LLC @Prestonwood,0013r00002bSMsI,TRUE,75,"",TRUE,"","",12532 NUESTRA DR,DALLAS,75230,"",940-368-3794,48113009604,87,68,Demand < Supply
Dallas ISD DASA at ALEX W SPENCE TALENTED/GIFTED ACADEMY,0013r00002YvrDA,TRUE,75,School,TRUE,No Charge,School Run,4001 CAPITOL AVE,DALLAS,75204,"",(972)925-2300,48113000802,81,41,Demand < Supply
Dallas ISD DASA at ANN RICHARDS STEAM ACADEMY,0013r00002YvrDB,TRUE,75,School,TRUE,No Charge,School Run,3831 N PRAIRIE CREEK,DALLAS,75227,"",(972)892-5400,48113012102,91,60,Demand < Supply
Dallas ISD DASA at BAYLES EL,0013r00002YvrDC,TRUE,75,School,TRUE,No Charge,School Run,2444 TELEGRAPH AVE,DALLAS,75228,"",(972)749-8900,48113012213,85,69,Demand < Supply
Dallas ISD DASA at BIRDIE ALEXANDER EL,0013r00002YvrDD,TRUE,75,School,TRUE,No Charge,School Run,1830 GOLDWOOD DR,DALLAS,75232,"",(972)749-3100,48113011101,93,68,Demand < Supply
Dallas ISD DASA at BOUDE STOREY MIDDLE,0013r00002YvrDE,TRUE,75,School,TRUE,No Charge,School Run,3000 MARYLAND AVE,DALLAS,75216,"",(972)925-8700,48113005600,77,88,Demand > Supply
Dallas ISD DASA at C A TATUM JR EL,0013r00002YvrDF,TRUE,75,School,TRUE,No Charge,School Run,3002 ST AUGUSTINE RD,DALLAS,75227,"",(972)502-2000,48113012101,76,88,Demand > Supply
Dallas ISD DASA at CLARA OLIVER EL,0013r00002YvrDG,TRUE,75,School,TRUE,No Charge,School Run,4010 IDAHO AVE,DALLAS,75216,"",(972)749-3400,48113005901,99,62,Demand < Supply
Dallas ISD DASA at DAVID G BURNET EL,0013r00002YvrDH,TRUE,75,School,TRUE,No Charge,School Run,3200 KINKAID DR,DALLAS,75220,"",(972)794-3000,48113009803,94,60,Demand < Supply
Dallas ISD DASA at E B COMSTOCK MIDDLE,0013r00002YvrDI,TRUE,75,School,TRUE,No Charge,School Run,7044 HODDE ST,DALLAS,75217,"",(972)794-1300,48113009303,87,64,Demand < Supply
Dallas ISD DASA at ELADIO R MARTINEZ LEARNING CENTER,0013r00002YvrDJ,TRUE,75,School,TRUE,No Charge,School Run,4500 BERNAL DR,DALLAS,75212,"",(972)794-6900,48113010601,93,62,Demand < Supply
Dallas ISD DASA at ESPERANZA MEDRANO EL,0013r00002YvrDK,TRUE,75,School,TRUE,No Charge,School Run,2221 LUCAS DR,DALLAS,75219,"",(972)794-3300,48113000401,94,59,Demand < Supply
Dallas ISD DASA at FRANCISCO MEDRANO MIDDLE,0013r00002YvrDL,TRUE,75,School,TRUE,No Charge,School Run,9815 BROCKBANK,DALLAS,75220,"",(972)925-1300,48113009803,94,60,Demand < Supply
Dallas ISD DASA at FRANK GUZICK EL,0013r00002YvrDM,TRUE,75,School,TRUE,No Charge,School Run,5000 BERRIDGE LN,DALLAS,75227,"",(972)502-3900,48113012207,93,59,Demand < Supply
Dallas ISD DASA at GABE P ALLEN CHARTER SCHOOL,0013r00002YvrDN,TRUE,75,School,TRUE,No Charge,School Run,5220 NOMAS ST,DALLAS,75212,"",(972)794-5100,48113010601,93,62,Demand < Supply
Dallas ISD DASA at H I HOLLAND EL AT LISBON,0013r00002YvrDO,TRUE,75,School,TRUE,No Charge,School Run,4203 S LANCASTER RD,DALLAS,75216,"",(972)749-1900,48113005700,91,66,Demand < Supply
Dallas ISD DASA at HAROLD WENDELL LANG SR MIDDLE,0013r00002YvrDP,TRUE,75,School,TRUE,No Charge,School Run,1678 CHENAULT,DALLAS,75228,"",(972)925-2400,48113012211,77,87,Demand > Supply
Dallas ISD DASA at HIGHLAND MEADOWS EL,0013r00002YvrDQ,TRUE,75,School,TRUE,No Charge,School Run,8939 WHITEWING LN,DALLAS,75238,"",(972)502-5200,48113013010,91,66,Demand < Supply
Dallas ISD DASA at J P STARKS EL,0013r00002YvrDR,TRUE,75,School,TRUE,No Charge,School Run,3033 TIPS BLVD,DALLAS,75216,"",(972)502-8800,48113021100,84,,
Dallas ISD DASA at JACK LOWE SR EL,0013r00002YvrDS,TRUE,75,School,TRUE,No Charge,School Run,7000 HOLLY HILL DR,DALLAS,75231,"",(972)502-1700,48113007815,77,88,Demand > Supply
Dallas ISD DASA at JILL STONE EL AT VICKERY MEADOW,0013r00002YvrDT,TRUE,75,School,TRUE,No Charge,School Run,6606 RIDGECREST RD,DALLAS,75231,"",(972)502-7900,48113007833,72,98,Demand > Supply
Dallas ISD DASA at MOUNT AUBURN STEAM ACADEMY,0013r00002YvrDc,TRUE,75,School,TRUE,No Charge,School Run,6012 E GRAND AVE,DALLAS,75223,"",(972)749-8500,48113001202,89,69,Demand < Supply
Dallas ISD DASA at LORENZO DE ZAVALA EL,0013r00002YvrDZ,TRUE,75,School,TRUE,No Charge,School Run,3214 N WINNETKA AVE,DALLAS,75212,"",(972)892-6400,48113010102,86,76,Demand < Supply
Dallas ISD DASA at MARK TWAIN LEADERSHIP VANGUARD,0013r00002YvrDa,TRUE,75,School,TRUE,No Charge,School Run,724 GREEN COVE LN,DALLAS,75232,"",(972)749-3000,48113011002,85,58,Demand < Supply
Dallas ISD DASA at MARTIN WEISS EL,0013r00002YvrDb,TRUE,75,School,TRUE,No Charge,School Run,8601 WILLOUGHBY BLVD,DALLAS,75232,"",(972)749-4000,48113011104,86,71,Demand < Supply
Dallas ISD DASA at N W HARLLEE EARLY CHILDHOOD CENTER,0013r00002YvrDd,TRUE,75,School,TRUE,No Charge,School Run,1216 E EIGHTH ST,DALLAS,75203,"",(972)925-6500,48113021000,96,60,Demand < Supply
Dallas ISD DASA at OLIVER WENDELL HOLMES HUMANITIES/COMMUNICATIONS,0013r00002YvrDe,TRUE,75,School,TRUE,No Charge,School Run,2001 E KIEST BLVD,DALLAS,75216,"",(972)925-8500,48113008801,88,69,Demand < Supply
Dallas ISD DASA at ORAN M ROBERTS EL,0013r00002YvrDf,TRUE,75,School,TRUE,No Charge,School Run,4919 GRAND AVE,DALLAS,75223,"",(972)749-8700,48113002500,95,66,Demand < Supply
Dallas ISD DASA at PIEDMONT GLOBAL ACADEMY,0013r00002YvrDg,TRUE,75,School,TRUE,No Charge,School Run,7625 HUME DR,DALLAS,75227,"",(972)749-4100,48113009101,93,60,Demand < Supply
Dallas ISD DASA at RICHARD LAGOW EL,0013r00002YvrDh,TRUE,75,School,TRUE,No Charge,School Run,637 EDGEWORTH DR,DALLAS,75217,"",(972)749-6600,48113011702,84,58,Demand < Supply
Dallas ISD DASA at S S CONNER EL,0013r00002YvrDi,TRUE,75,School,TRUE,No Charge,School Run,3037 GREENMEADOW DR,DALLAS,75228,"",(972)749-8200,48113012210,79,83,Demand > Supply
Dallas ISD DASA at SAM TASBY MIDDLE,0013r00002YvrDj,TRUE,75,School,TRUE,No Charge,School Run,7001 FAIR OAKS AVE,DALLAS,75231,"",(972)502-1900,48113007815,77,88,Demand > Supply
Dallas ISD DASA at Thomas Tolbert Elementary School,001i000001I53dc,TRUE,75,School,TRUE,No Charge,School Run,4000 Blue Ridge Blvd,Dallas,75233,"","",48113010807,93,62,Demand < Supply
ALC Early Care And Education Centers,001i000001YBHDl,TRUE,75,Community Center/Nonprofit,TRUE,Sliding Scale,For Profit,6610 TYREE ST,DALLAS,75209,"",(214) 350-8444,48113007102,90,62,Demand < Supply
St. Simon's After-School Program at Charles Rice Learning Center,0013100001beu4M,TRUE,75,School,TRUE,No Charge,Local Nonprofit,2425 Pine St.,Dallas,75215,www.stsimonsafterschool.com,(972) 749-1100,48113020800,91,71,Demand < Supply
KCE Champions LLC @ Uplift-Peak,0013r00002QWCOb,TRUE,75,Child Care Center,TRUE,Fee,For Profit,1474 Annex Ave,DALLAS,75204,"",940-368-3794,48113001601,93,,
Heavenly Learning Center,001i000001YBHJL,TRUE,72,Child Care Center,TRUE,Sliding Scale,For Profit,9625 PLANO RD STE 1700,DALLAS,75238,"",(214) 343-0216,48113013005,93,62,Demand < Supply
Riding Rainbows Child Development Center,001i000001SQB4a,TRUE,71,Child Care Center,TRUE,Sliding Scale,For Profit,1132 S.Buckner Blvd,Dallas,75217,Ridingrainbowscdc.org,214 391-2259,48113009202,84,80,Demand > Supply
Voice of Hope Ministries - Gooch Elementary,0013r00002dlRGJ,TRUE,71,"",TRUE,"","",4030 CALCULUS DR,DALLAS,75244,"",214-631-7027,48113009608,87,61,Demand < Supply
K.B. Polk Recreation Center,0013100001bTucz,TRUE,70,Municipal Building,TRUE,Fee,P&R,6801 Roper St.,Dallas,75209,www.dallasparks.org,(214)670-6308,48113007102,90,62,Demand < Supply
